symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,20000,-0.01812881002671008,2220.1108599329405,14204.69606682279,-257.5142364825862,-51502.84729651725,1.9999999999999998,28409.392133645575,568187842.6729115,0.2887071343003753,-0.050736572009644626,0.09598590615469133,0.9035026236526549,0.0005114701926537726,7742.777075192421,1632.2982747248138,4159.7974814814825,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,-0.018367964108926587,2284.4885302347775,13804.402859820459,-253.55877627434572,-76067.63288230372,2.0,27608.805719640917,828264171.5892276,0.3467378522622347,-0.054317623449539186,0.08957816377171215,0.9099828211490743,0.0004390150792135904,8266.868315789474,1696.6623018836265,54.8918695652174,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,40000,-0.02145102650758308,2214.7371708625906,14239.161384426232,-305.4446283030805,-122177.85132123219,2.0,28478.322768852464,1139132910.7540987,0.3662921361369306,-0.05700425001558635,0.08393750832524595,0.9156628798690796,0.00039961180567448765,8490.83455316255,1640.3739694299547,20.324619047619045,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,-0.02214476385697975,2477.517555610498,12728.87044880255,-281.8778302548203,-140938.91512741018,2.0,25457.7408976051,1272887044.880255,0.40851770914634167,-0.06017913602932033,0.08109547356409282,0.9184861163940662,0.00041841004184100416,9536.896837476548,1855.3440212241685,25.49081818181818,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,60000,-0.026099450081864185,2479.1342438601837,12720.569722314134,-331.9998744804107,-199199.92468824645,2.0,25441.13944462827,1526468366.677696,0.40401747897713325,-0.062220821246464754,0.07742832121235198,0.9222289913566615,0.00034268743098655904,9806.5136388001,1864.8561468590656,23.206333333333333,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,-0.025078205298642027,2549.5892380970463,12369.051268641897,-310.1936070644301,-217135.52494510112,2.0,24738.102537283794,1731667177.6098657,0.45889238150413875,-0.06456727668792872,0.07539644858038173,0.9242617035419238,0.000341847877694426,11440.70354206549,1825.229488113095,32.48733333333333,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,80000,-0.028252662780090018,2521.382442575593,12507.424287362755,-353.36804063836763,-282694.43251069414,1.9999999999999998,25014.848574725507,2001187885.9780407,0.47727742697986597,-0.06678181688556109,0.07079461010699964,0.9290153372484178,0.00019005264458254935,11628.687975838926,1827.88210443517,18.4242,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,-0.030565409312815504,2431.0545072781047,12972.14846709004,-396.49902756321933,-356849.1248068974,2.0,25944.29693418008,2334986724.076207,0.4859534895621027,-0.06891826637779841,0.06909398164151016,0.9306947805046665,0.00021123785382340515,10702.468083379657,1817.5380783864643,24.47990909090909,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,-0.013954956159024062,2397.7941618625705,13152.088073941804,-183.5368124714811,-18353.68124714811,2.0,26304.17614788361,263041761.4788361,0.24881069290231891,-0.046199412627949375,0.109161344763439,0.8899564658726963,0.0008821893638647565,6933.123316936051,1843.8321861652842,39.357891304347824,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,20000,-0.01670680427731981,2355.7806164911476,13386.645504780392,-223.6480663782291,-44729.613275645825,2.0,26773.291009560784,535465820.1912157,0.2915379426972794,-0.050551637438047914,0.09888202075702075,0.9007554945054945,0.0003624847374847375,9014.467677213968,1625.7457412843648,34.2838947368421,2.0,2.0,2.0
