symbol,conf,only_side,test_volume_usd,sigma,vlt_score,leverage,liquidation_p
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.19044116049944715,2,40,0.9973559683241475
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.19044116049944715,2,45,0.9984444364520239
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.19044116049944715,2,50,0.9971291307118929
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.19044116049944715,2,75,0.9999999848014319
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.19044116049944715,2,100,0.9999997895154108
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,2,0.011822502594639905
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,3,2.797205995053176e-06
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,5,0.3571517543737789
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,7,0.8683489490216529
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,10,0.9463723156444325
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,12,0.13785593451804168
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,15,0.9893416354183339
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,17,0.9869421958411966
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,20,0.9701224286387354
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,25,0.9999522287925839
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,30,0.9999953617024265
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,35,0.9999642300132648
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,40,0.4767545427263107
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,45,0.9999999237253674
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,50,0.4925203693249772
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,75,0.9999999997850091
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.26066174074917076,3,100,0.9999998985557185
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,3,0.09798366090336996
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,5,0.46121721278578154
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,7,0.9974349833839619
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,10,0.9999865939099684
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,12,0.9949433542030646
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,15,0.9764152884828295
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,17,0.9999999998403688
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,20,0.994970939219342
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,25,0.9981888768943988
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,30,0.999998870073198
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,35,1.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,40,0.9999502875496096
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,45,0.9999983929882794
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,50,0.9999794607727021
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,75,0.999999995795819
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.3308823209988943,4,100,0.9999999999919593
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,3,0.12354063560462492
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,5,0.7212057409804276
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,7,0.9699262801215345
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,10,0.9414375995988841
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,12,0.9886781892696932
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,15,0.9999019509988691
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,17,0.999695487584311
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,20,0.999999770514797
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,25,0.9999998134280477
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,30,0.9999999990378066
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,35,0.999999103352117
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,40,0.9999999999992893
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,45,0.9999999998003115
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,50,0.9999999999974591
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,0.40110290124861786,5,75,1.0
