symbol,conf,only_side,test_volume_usd,sigma,vlt_score,leverage,liquidation_p
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,3,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,5,0.046488135604205505
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,7,0.13616859663061098
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,10,0.20033333459668468
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,12,0.20341727407053922
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,15,0.33762961168684635
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,17,0.391495382488091
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,20,0.44407171971551607
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,25,0.5866833647418488
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,30,0.5996211622323495
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,35,0.6997642398487463
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,40,0.7401450412622732
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,45,0.7467926628563412
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,50,0.8511590151105823
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,75,0.8750004707601688
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.05,0,100,0.9779279962164185
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,3,0.0036471495653451758
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,5,0.07583669338404575
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,7,0.3311600031468104
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,10,0.699364527104809
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,12,0.41832612778047706
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,15,0.9402960652250485
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,17,0.53145642097853
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,20,0.859691105744959
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,25,0.8525283423532934
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,30,0.9090114452856448
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,35,0.8336760989366359
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,40,0.9930226518108675
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,45,0.9804969851954501
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,50,0.9616970653848982
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,75,0.9829085814641899
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.11367047015354079,1,100,0.9941473550565275
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,3,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,5,0.05080230255085749
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,7,0.2805893984556306
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,10,0.5361798304513892
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,12,0.5233025910597389
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,15,0.1401581744844801
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,17,0.8716470675721556
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,20,0.9207706993473059
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,25,0.9998272857388351
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,30,0.9808828640271067
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,35,0.9654895844747152
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,40,0.9812879609707793
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,45,0.3765031277292268
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,50,0.46252867797286545
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,75,0.9990490978926556
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.17734094030708158,2,100,0.9999265074252608
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,3,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,5,0.1395825066701487
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,7,0.31915770045675396
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,10,0.4569984045958606
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,12,0.8365016521448918
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,15,0.9638554739095816
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,17,0.8801489257273325
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,20,0.9680579195853145
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,25,0.9490942933938344
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,30,0.9627457195231259
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,35,0.9988838040646655
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,40,0.9997878333510458
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,45,0.9997532081761811
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,50,0.9999989379528327
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,75,0.9999999065511381
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.24101141046062236,3,100,0.999999999986382
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,3,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,5,0.18689263878299733
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,7,0.47574551682129707
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,10,0.7110219204036636
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,12,0.7532886594582558
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,15,0.9615029628581622
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,17,0.9584333176826193
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,20,0.991473817885977
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,25,0.985806541113283
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,30,0.9996046428296372
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,35,0.9971586347803576
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,40,0.9952327455106994
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,45,0.9999920176709546
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,50,0.9999885328809018
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,75,0.9999960475681706
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3046818806141631,4,100,0.9999999754627744
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3683523507677039,5,1,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3683523507677039,5,2,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,0.3683523507677039,5,3,0.0
