symbol,conf,only_side,test_volume_usd,target_perc,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
ETHUSDC,Current,0,100,0.5,-0.16991776182127838,3262.693827674815,9665.632653761564,-1642.3626671138284,-1642.3626671138284,31.645572029653376,305874.4743567813,30587447.43567813,0.2711762685260823,-0.6384416253654103,0.5150671208174714,0.4849178521338409,1.5027048687637748e-05,1446.36724796748,5191.979191872657,2276.932333333333,12.132142996071108,52.37250668842773,22.666666666666668
ETHUSDC,Current,0,100,1.0,-0.32679979416242694,11933.831966890699,2642.5711445823677,-863.5917061090867,-863.5917061090867,61.49246764694098,162498.22061297102,16249822.061297102,0.5496126681893884,-1.3002877428459687,0.5262380303698064,0.4737619696301935,0.0,5418.718041674993,19170.58995807478,0.0,21.837544610992147,105.53975284628477,0.0
ETHUSDC,Current,0,100,1.5,-0.49428129966606077,24546.744471055208,1284.732484064692,-635.0192419467027,-635.0192419467027,91.22230998420284,117196.26490812427,11719626.490812426,0.8315458336570253,-1.9754475560682887,0.5276700193965086,0.47232998060349135,0.0,11593.010604331474,39018.18876086703,0.0,31.42785141113943,158.02252257019782,0.0
ETHUSDC,Current,0,100,2.0,-0.7905559490524546,42756.51210975867,737.5718561664968,-583.0918187460854,-583.0918187460854,126.13779839916441,93035.69009802706,9303569.009802707,1.111358342585402,-2.8820901631082307,0.5237413756741285,0.47625862432587146,0.0,19502.671652563255,68328.74905979229,0.0,40.98334627664164,219.78210764932257,0.0
ETHUSDC,Current,0,100,3.0,-0.9854837911558761,83939.33177470356,375.6999172288368,-370.24617876762295,-370.2461787676229,178.9070644649987,67215.36931115418,6721536.931115418,1.6601332082347549,-3.91888929511318,0.5257920186192091,0.4742079813807909,0.0,42172.52695706136,130249.502582875,0.0,60.5636877051057,310.123757139835,0.0
ETHUSDC,Current,0,500,0.5,-0.18411959179039972,3237.9894522331856,9739.377000826906,-1793.2101176850574,-8966.050588425287,30.987202504488373,301796.04739217996,150898023.69608998,0.2724648772813087,-0.6566861646668507,0.508579172938723,0.491390821210136,3.000585114097249e-05,1422.872354301054,5116.786204734427,147.70399999999998,11.758948237885463,50.889465596026824,7.666666666666667
ETHUSDC,Current,0,500,1.0,-0.35850142150700587,11956.337290325007,2637.597052863232,-945.582292814158,-4727.91146407079,60.3771777134573,159250.6659972146,79625332.9986073,0.5545486961549637,-1.3395220740918043,0.5179358812936107,0.48205408605009303,1.0032656296244275e-05,5446.493076242131,18950.9919220267,0.818,21.136445520581113,102.54001685796644,2.0
ETHUSDC,Current,0,500,1.5,-0.5377646646512946,24496.457372383702,1287.3698233423902,-692.3020013319168,-3461.5100066595837,89.45182187048047,115157.5761190554,57578788.0595277,0.8384074755492145,-2.0342763123159027,0.5209454844930098,0.4790545155069902,0.0,11438.74863650122,38695.99872642746,0.0,30.370950173030394,153.6990261748273,0.0
ETHUSDC,Current,0,500,2.0,-0.8545035322899643,42684.39989987251,738.8179305314351,-631.3225313582727,-3156.612656791364,123.88790619698233,91530.60647432704,45765303.23716352,1.1217018798642244,-2.9620610410438903,0.5160822382620742,0.4839177617379258,0.0,19494.687356974042,67415.45897654783,0.0,39.50265033992433,213.88198197263742,0.0
ETHUSDC,Current,0,500,3.0,-1.0938575122151941,84158.95878115013,374.7194648879546,-409.8897016409468,-2049.448508204734,176.64606800768686,66192.72007840166,33096360.03920083,1.6786314587188915,-4.058554192042532,0.5167510449019322,0.48324895509806776,0.0,41684.71594333376,129577.80373945094,0.0,58.502810979813376,302.97981559930224,0.0
