symbol,conf,only_side,test_volume_usd,target_perc,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,1,-0.3532772912707775,23718.836246084447,1329.576193064954,-469.70907602409926,-46970.90760240993,51.84320804912687,68929.49519423248,689294951.9423249,0.5524809233726421,-1.335765708808106,0.5203178444982297,0.47968215550177024,0.0,10982.559887293484,37534.05072911606,0.0,18.585877807571432,87.917892476257,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,2,-0.5350234339805081,79196.83670416258,398.197722439367,-213.04511286272736,-21304.511286272736,95.52949056936366,38039.6255705136,380396255.705136,1.112683784354823,-2.437311948371274,0.5358565636725341,0.46414343632746596,0.0,40878.65657578691,123435.42056143796,0.0,34.84086957339023,165.59489138219146,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,3,-0.7472294713047933,173896.87544141617,181.34885931647526,-135.50921226877716,-13550.921226877717,141.16196781534953,25599.56184218263,255995618.4218263,1.670969146802697,-3.7506557381008916,0.5539716100903774,0.44602838990962257,0.0,91285.51538340317,276500.99028793175,0.0,51.48342138823101,252.54359705393205,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,4,-0.832305128130056,294057.23148780956,107.24442939369561,-89.26008854775456,-8926.008854775457,181.245153008154,19437.53301473253,194375330.1473253,2.232194073758892,-4.721241656320155,0.5592827314657425,0.44071726853425747,0.0,164139.58584744702,458926.41385725955,0.0,67.703168094063,325.33315679795527,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,5,-0.8080851593396772,435075.24952127296,72.48401290282557,-58.57325511615902,-5857.325511615902,217.90257170361994,15794.452818924061,157944528.1892406,2.7964680250897045,-5.543975847505566,0.567822379780878,0.432177620219122,0.0,254906.2523214298,671792.7100433594,0.0,84.06205597416577,393.75073365625997,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,1,-0.4435271883612144,23875.933750732725,1320.8279236003575,-585.8230952634475,-175746.92857903425,46.84568405336753,61875.087597847814,1856252627.9354343,0.5431224471628213,-1.4018111584398312,0.49270780622955257,0.5072921937704474,0.0,10928.56143200838,36451.07582848085,0.0,16.0733555006457,76.73332411559049,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,2,-0.6959446136408404,79464.01342700455,396.85888794138106,-276.191805438298,-82857.5416314894,86.33854860519857,34264.22038593198,1027926611.5779593,1.099208572026678,-2.567266163115489,0.5103871387789853,0.48961286122101466,0.0,40281.26352822616,120309.28771260523,0.0,29.951486129782452,145.11811458557094,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,3,-0.9910462902356038,173844.3686421268,181.40363272232017,-179.7793972447174,-53933.81917341522,127.78454327831676,23180.5803564492,695417410.6934761,1.6564084240832069,-3.9815369877042706,0.5304220738314225,0.4695779261685776,0.0,89181.25469923703,269477.4509742209,0.0,44.039734344269306,222.38033399158581,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,4,-1.158065213899448,293963.61244787957,107.2785836906648,-124.23559596855958,-37270.67879056788,164.2407561688656,17619.51570607972,528585471.18239164,2.220114688329319,-5.035154547121249,0.5343825580279827,0.4656174419720173,0.0,159632.2904073416,448133.77237848094,0.0,57.751802333821516,286.4566235794222,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,5,-1.173636148347996,434828.17480226303,72.52519921079382,-85.11819545992718,-25535.458637978154,197.0319585007374,14289.78204115884,428693461.2347652,2.7751971299074514,-5.8604738798838865,0.5427300005085693,0.4572699994914306,0.0,247078.0340304731,657667.2722936504,0.0,72.17552967193606,345.22302670359124,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,1,-0.49075635217286906,23829.051864084373,1323.4265542697356,-649.479988142125,-324739.9940710625,43.82028678067183,57992.93114125616,2899646557.062808,0.5343564092710257,-1.4352609792996052,0.47953710837827834,0.5204628916217217,0.0,10743.886503761203,35885.28576769492,0.0,14.709130176218348,70.64233324040875,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,2,-0.7957620439100735,79089.71905160017,398.73703406918287,-317.29979721353357,-158649.89860676677,80.91508671941241,32263.841689949233,1613192084.4974616,1.0875870183509384,-2.6589051116209887,0.49730334485578537,0.5026966551442146,0.0,39619.07879712075,118136.88839574641,0.0,27.40209638529907,133.85394918062238,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,3,-1.1166110322841494,173598.73395839502,181.66031099949134,-202.84390739020165,-101421.95369510082,119.11178394334729,21637.883714852687,1081894185.7426343,1.6452604292741853,-4.046825080505864,0.5147874260123233,0.4852125739876767,0.0,87880.90385698715,264541.2681936808,0.0,40.06885039864891,202.97257091662934,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,4,-1.3325202378695489,294593.76657403196,107.04910822366278,-142.64510315391823,-71322.55157695911,153.75137705166787,16458.947801541177,822947390.0770588,2.2102787427473602,-5.190235515254732,0.5212766495536278,0.4787233504463721,0.0,158097.1256128625,443223.474335767,0.0,52.611242104037494,263.88176996386534,0.0
