symbol,volume_usd,side,rate_year,funding_usd_year
BTCUSDC,1000,1,-0.08431375227894258,-84.31375227894259
BTCUSDC,1000,-1,0.08431375227894258,84.31375227894259
BTCUSDC,100000,1,-0.08431375227894258,-8431.375227894257
BTCUSDC,100000,-1,0.08431375227894258,8431.375227894257
BTCUSDC,200000,1,-0.08431375227894258,-16862.750455788515
BTCUSDC,200000,-1,0.08431375227894258,16862.750455788515
BTCUSDC,300000,1,-0.08431375227894258,-25294.125683682774
BTCUSDC,300000,-1,0.08431375227894258,25294.125683682774
BTCUSDC,500000,1,-0.08431375227894258,-42156.87613947129
BTCUSDC,500000,-1,0.08431375227894258,42156.87613947129
ETHUSDC,1000,1,-0.08183340758887876,-81.83340758887876
ETHUSDC,1000,-1,0.08183340758887876,81.83340758887876
ETHUSDC,100000,1,-0.08183340758887876,-8183.340758887876
ETHUSDC,100000,-1,0.08183340758887876,8183.340758887876
ETHUSDC,200000,1,-0.08183340758887876,-16366.681517775753
ETHUSDC,200000,-1,0.08183340758887876,16366.681517775753
ETHUSDC,300000,1,-0.08183340758887876,-24550.02227666363
ETHUSDC,300000,-1,0.08183340758887876,24550.02227666363
ETHUSDC,500000,1,-0.08183340758887876,-40916.70379443938
ETHUSDC,500000,-1,0.08183340758887876,40916.70379443938
SOLUSDC,1000,1,-0.07158892397447586,-71.58892397447586
SOLUSDC,1000,-1,0.07158892397447586,71.58892397447586
SOLUSDC,100000,1,-0.07158892397447586,-7158.892397447586
SOLUSDC,100000,-1,0.07158892397447586,7158.892397447586
SOLUSDC,200000,1,-0.07158892397447586,-14317.784794895171
SOLUSDC,200000,-1,0.07158892397447586,14317.784794895171
SOLUSDC,300000,1,-0.07158892397447586,-21476.67719234276
SOLUSDC,300000,-1,0.07158892397447586,21476.67719234276
SOLUSDC,500000,1,-0.07158892397447586,-35794.46198723793
SOLUSDC,500000,-1,0.07158892397447586,35794.46198723793
